# e(GeV/fm^3)  rho_B(1/fm^3)  c2_hat  zeta_hat(GeV/fm^3)  eta_hat(GeV/fm^3)
  2.000000e-02  3.081903e-03  1.686710e-01  1.559404e-03  3.359971e-03
  2.000000e-02  3.178212e-03  1.676238e-01  1.566363e-03  3.347503e-03
  2.000000e-02  3.274521e-03  1.665859e-01  1.573041e-03  3.335006e-03
  2.000000e-02  3.370831e-03  1.655569e-01  1.579443e-03  3.322527e-03
  2.000000e-02  3.467140e-03  1.645373e-01  1.585565e-03  3.310016e-03
  2.000000e-02  3.563450e-03  1.635268e-01  1.591390e-03  3.297476e-03
  2.000000e-02  3.659759e-03  1.625254e-01  1.596977e-03  3.284926e-03
  2.000000e-02  3.756069e-03  1.615328e-01  1.602294e-03  3.272351e-03
  2.000000e-02  3.852378e-03  1.605489e-01  1.607315e-03  3.259773e-03
  2.000000e-02  3.948688e-03  1.595741e-01  1.612091e-03  3.247181e-03
  2.000000e-02  4.044997e-03  1.586079e-01  1.616633e-03  3.234580e-03
  2.000000e-02  4.141307e-03  1.576501e-01  1.620900e-03  3.221957e-03
  2.000000e-02  4.237616e-03  1.567008e-01  1.624895e-03  3.209325e-03
  2.000000e-02  4.333925e-03  1.557599e-01  1.628692e-03  3.196678e-03
  2.000000e-02  4.430235e-03  1.548274e-01  1.632226e-03  3.184029e-03
  2.000000e-02  4.526544e-03  1.539029e-01  1.635488e-03  3.171354e-03
  2.000000e-02  4.622854e-03  1.529866e-01  1.638553e-03  3.158675e-03
  2.000000e-02  4.719163e-03  1.520780e-01  1.641366e-03  3.145972e-03
  2.000000e-02  4.815473e-03  1.511774e-01  1.643949e-03  3.133274e-03
  2.000000e-02  4.911782e-03  1.502845e-01  1.646320e-03  3.120566e-03
  2.000000e-02  5.008092e-03  1.493992e-01  1.648416e-03  3.107839e-03
  2.000000e-02  5.104401e-03  1.485215e-01  1.650355e-03  3.095099e-03
  2.000000e-02  5.200711e-03  1.476512e-01  1.652028e-03  3.082356e-03
  2.000000e-02  5.297020e-03  1.467882e-01  1.653504e-03  3.069596e-03
  2.000000e-02  5.393329e-03  1.459324e-01  1.654757e-03  3.056833e-03
  2.000000e-02  5.489639e-03  1.450838e-01  1.655823e-03  3.044064e-03
  2.000000e-02  5.585948e-03  1.442421e-01  1.656672e-03  3.031274e-03
  2.000000e-02  5.682258e-03  1.434074e-01  1.657315e-03  3.018475e-03
  2.000000e-02  5.778567e-03  1.425792e-01  1.657749e-03  3.005673e-03
  2.000000e-02  5.874877e-03  1.417581e-01  1.657987e-03  2.992857e-03
  2.000000e-02  5.971186e-03  1.409433e-01  1.658015e-03  2.980032e-03
  2.000000e-02  6.067496e-03  1.401352e-01  1.657887e-03  2.967195e-03
  2.000000e-02  6.163805e-03  1.393334e-01  1.657518e-03  2.954355e-03
  2.000000e-02  6.260115e-03  1.385378e-01  1.657023e-03  2.941497e-03
  2.000000e-02  6.356424e-03  1.377489e-01  1.656313e-03  2.928642e-03
  2.000000e-02  6.452733e-03  1.369658e-01  1.655385e-03  2.915767e-03
  2.000000e-02  6.549043e-03  1.361886e-01  1.654346e-03  2.902887e-03
  2.000000e-02  6.645352e-03  1.354175e-01  1.653065e-03  2.889994e-03
  2.000000e-02  6.741662e-03  1.346522e-01  1.651600e-03  2.877095e-03
  2.000000e-02  6.837971e-03  1.338927e-01  1.650036e-03  2.864179e-03
  2.000000e-02  6.934281e-03  1.331390e-01  1.648265e-03  2.851269e-03
  2.000000e-02  7.030590e-03  1.323904e-01  1.646283e-03  2.838332e-03
  2.000000e-02  7.126900e-03  1.316478e-01  1.644173e-03  2.825396e-03
  2.000000e-02  7.223209e-03  1.309104e-01  1.641920e-03  2.812443e-03
  2.000000e-02  7.319519e-03  1.301783e-01  1.639472e-03  2.799483e-03
  2.000000e-02  7.415828e-03  1.294516e-01  1.636854e-03  2.786523e-03
  2.000000e-02  7.512137e-03  1.287300e-01  1.634068e-03  2.773537e-03
  2.000000e-02  7.608447e-03  1.280133e-01  1.631148e-03  2.760545e-03
  2.000000e-02  7.704756e-03  1.273019e-01  1.628124e-03  2.747563e-03
  2.000000e-02  7.801066e-03  1.265953e-01  1.624888e-03  2.734555e-03
  2.000000e-02  7.897375e-03  1.258934e-01  1.621532e-03  2.721534e-03
  2.000000e-02  7.993685e-03  1.251961e-01  1.617988e-03  2.708498e-03
  2.000000e-02  8.089994e-03  1.245042e-01  1.614344e-03  2.695474e-03
  2.000000e-02  8.186304e-03  1.238163e-01  1.610508e-03  2.682421e-03
  2.000000e-02  8.282613e-03  1.231330e-01  1.606575e-03  2.669363e-03
  2.000000e-02  8.378923e-03  1.224541e-01  1.602472e-03  2.656291e-03
  2.000000e-02  8.475232e-03  1.217798e-01  1.598224e-03  2.643221e-03
  2.000000e-02  8.571541e-03  1.211096e-01  1.593865e-03  2.630133e-03
  2.000000e-02  8.667851e-03  1.204436e-01  1.589361e-03  2.617026e-03
  2.000000e-02  8.764160e-03  1.197817e-01  1.584701e-03  2.603919e-03
  2.000000e-02  8.860470e-03  1.191242e-01  1.579888e-03  2.590802e-03
  2.000000e-02  8.956779e-03  1.184705e-01  1.574958e-03  2.577671e-03
  2.000000e-02  9.053089e-03  1.178207e-01  1.569967e-03  2.564524e-03
  2.000000e-02  9.149398e-03  1.171748e-01  1.564836e-03  2.551375e-03
  2.000000e-02  9.245708e-03  1.165325e-01  1.559547e-03  2.538204e-03
  2.000000e-02  9.342017e-03  1.158943e-01  1.554100e-03  2.525036e-03
  2.000000e-02  9.438327e-03  1.152593e-01  1.548569e-03  2.511843e-03
  2.000000e-02  9.534636e-03  1.146281e-01  1.542941e-03  2.498641e-03
  2.000000e-02  9.630945e-03  1.140004e-01  1.537131e-03  2.485428e-03
  2.000000e-02  9.727255e-03  1.133764e-01  1.531250e-03  2.472204e-03
  2.000000e-02  9.823564e-03  1.127554e-01  1.525237e-03  2.458970e-03
  2.000000e-02  9.919874e-03  1.121379e-01  1.519081e-03  2.445730e-03
  2.000000e-02  1.001618e-02  1.115236e-01  1.512915e-03  2.432466e-03
  2.000000e-02  1.011249e-02  1.109123e-01  1.506492e-03  2.419188e-03
  2.000000e-02  1.020880e-02  1.103044e-01  1.500079e-03  2.405911e-03
  2.000000e-02  1.030511e-02  1.096992e-01  1.493491e-03  2.392608e-03
  2.000000e-02  1.040142e-02  1.090974e-01  1.486823e-03  2.379304e-03
  2.000000e-02  1.049773e-02  1.084980e-01  1.480062e-03  2.365970e-03
  2.000000e-02  1.059404e-02  1.079016e-01  1.473093e-03  2.352632e-03
  2.000000e-02  1.069035e-02  1.073079e-01  1.466148e-03  2.339277e-03
  2.000000e-02  1.078666e-02  1.067171e-01  1.459049e-03  2.325909e-03
  2.000000e-02  1.088297e-02  1.061288e-01  1.451872e-03  2.312533e-03
  2.000000e-02  1.097928e-02  1.055430e-01  1.444525e-03  2.299134e-03
  2.000000e-02  1.107559e-02  1.049598e-01  1.437079e-03  2.285725e-03
  2.000000e-02  1.117190e-02  1.043789e-01  1.429606e-03  2.272301e-03
  2.000000e-02  1.126821e-02  1.038003e-01  1.422024e-03  2.258847e-03
